Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8036564k(1701328k free), swap 13829772k(2261584k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.378: [GC (Allocation Failure) 0.379: [DefNew: 896K->63K(960K), 0.0017622 secs] 1034K->689K(524224K), 0.0019746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.420: [GC (Allocation Failure) 0.420: [DefNew: 959K->63K(960K), 0.0009312 secs] 1811K->1157K(524224K), 0.0010272 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.454: [GC (Allocation Failure) 0.454: [DefNew: 959K->64K(960K), 0.0009790 secs] 2069K->1257K(524224K), 0.0010840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.517: [GC (Allocation Failure) 0.517: [DefNew: 960K->64K(960K), 0.0011637 secs] 2201K->1530K(524224K), 0.0012680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.545: [GC (Allocation Failure) 0.545: [DefNew: 960K->63K(960K), 0.0013406 secs] 2453K->1666K(524224K), 0.0014815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.577: [GC (Allocation Failure) 0.577: [DefNew: 959K->63K(960K), 0.0008661 secs] 2596K->1780K(524224K), 0.0009885 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.610: [GC (Allocation Failure) 0.610: [DefNew: 959K->63K(960K), 0.0013181 secs] 2795K->1983K(524224K), 0.0014649 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.669: [GC (Allocation Failure) 0.669: [DefNew: 959K->63K(960K), 0.0008373 secs] 3150K->2357K(524224K), 0.0009237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.730: [GC (Allocation Failure) 0.730: [DefNew: 959K->64K(960K), 0.0017034 secs] 3280K->2660K(524224K), 0.0018415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.764: [GC (Allocation Failure) 0.764: [DefNew: 960K->63K(960K), 0.0010015 secs] 3627K->2809K(524224K), 0.0011136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.785: [GC (Allocation Failure) 0.785: [DefNew: 959K->63K(960K), 0.0009170 secs] 3725K->2904K(524224K), 0.0010493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.837: [GC (Allocation Failure) 0.837: [DefNew: 959K->63K(960K), 0.0010295 secs] 4914K->4063K(524224K), 0.0011641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.893: [GC (Allocation Failure) 0.893: [DefNew: 959K->63K(960K), 0.0008116 secs] 4995K->4132K(524224K), 0.0009233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.925: [GC (Allocation Failure) 0.925: [DefNew: 959K->64K(960K), 0.0007852 secs] 5068K->4239K(524224K), 0.0008752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.945: [GC (Allocation Failure) 0.945: [DefNew: 959K->63K(960K), 0.0013418 secs] 5223K->4378K(524224K), 0.0014567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.969: [GC (Allocation Failure) 0.969: [DefNew: 959K->63K(960K), 0.0008645 secs] 5283K->4494K(524224K), 0.0009747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
